Percentage at School,Percentage at College,Hours Studing per day,Interested in extracurricular activites?,Self-learning capability?,Are you Introvert?,Area That Align with Your Mission,Skills,Interested Subjects,Hobbies,Fulfilling Activity,Strengths,Suggested Job Role
80,64,6,1,5,0,Technology and Innovation,high voltage engineering,Electrical Engineering,Content creation,renewable energy systems,Results-driven,Electrical Engineer
75,68,10,1,5,1,Technology and Innovation,circuit design,Electrical Engineering,Painting,electrical safety,Detail-oriented,Electrical Engineer
76,70,8,1,2,0,Technology and Innovation,telecommunications,Electrical Engineering,Researching,project management,Ethical,Electrical Engineer
65,74,9,0,3,1,Technology and Innovation,circuit simulation,Electrical Engineering,Poetry,testing and validation,Strategic,Electrical Engineer
62,78,7,0,1,1,Technology and Innovation,robotics,Electrical Engineering,Editing,automation systems,Adaptable,Electrical Engineer
79,75,12,0,5,1,Technology and Innovation,automation systems,Electrical Engineering,Reading,microcontroller programming,Knowledgeable,Electrical Engineer
68,66,3,1,1,1,Technology and Innovation,testing and validation,Electrical Engineering,Storytelling,circuit simulation,Engaging,Electrical Engineer
77,72,4,0,4,1,Technology and Innovation,project management,Electrical Engineering,Blogging,telecommunications,Insightful,Electrical Engineer
70,79,5,1,3,0,Technology and Innovation,electrical safety,Electrical Engineering,Creative writing,robotics,Organized,Electrical Engineer
64,73,6,0,5,1,Technology and Innovation,renewable energy systems,Electrical Engineering,Budget planning,high voltage engineering,Collaborative,Electrical Engineer
67,76,7,1,4,0,Technology and Innovation,embedded systems,Electrical Engineering,Chess,electrical design,Innovative,Electrical Engineer
78,65,8,0,2,1,Technology and Innovation,electronics troubleshooting,Electrical Engineering,Chess,instrumentation,Resourceful,Electrical Engineer
73,67,10,1,4,0,Technology and Innovation,microcontroller programming,Electrical Engineering,Journaling,power electronics,Detail-oriented,Electrical Engineer
80,70,11,1,5,1,Technology and Innovation,signal processing,Electrical Engineering,Exhibiting,circuit analysis,Technical,Electrical Engineer
60,85,4,0,4,0,Environmental Conservation,Sustainability,Sustainability,Watching Movies,Perform site inspections,Analysis,Environmental Consultant
90,72,11,0,4,1,Environmental Conservation,Environmental Assessment,Environmental Science,Board Games,Sustainability,Insight,Environmental Consultant
80,81,8,0,4,1,Environmental Conservation,Teaching,Education,Listening to Music,Engaging with Education,Communication,Environmental Educator
84,93,12,0,4,0,Environmental Conservation,Risk Assessment,Public Health,Podcasting,Risk Assessment,Advocacy,Environmental Health Specialist
72,78,12,0,4,1,Environmental Conservation,data analysis,Environmental Science,Scrapbooking,environmental assessment,Detail-oriented,Environmental Scientist
68,66,3,1,1,1,Environmental Conservation,community outreach,Environmental Science,Counseling,data analysis,Engaging,Environmental Scientist
77,72,4,0,4,1,Environmental Conservation,climate change research,Environmental Science,Advising,ecological research,Insightful,Environmental Scientist
75,68,10,1,5,1,Environmental Conservation,environmental assessment,Environmental Science,Baking,sustainability practices,Analytical,Environmental Scientist
70,79,5,1,3,0,Environmental Conservation,field sampling,Environmental Science,Medical Research,pollution control,Organized,Environmental Scientist
89,81,7,0,3,0,Environmental Conservation,Research,Environmental Science,Home Brewing,habitat restoration,Advocacy,Environmental Scientist
66,74,9,1,3,0,Environmental Conservation,ecological research,Environmental Science,Learning Languages,environmental policy,Problem-solving,Environmental Scientist
80,70,11,1,5,1,Environmental Conservation,sustainability practices,Environmental Science,DIY Projects,Data Analysis,Strategic,Environmental Scientist
78,65,8,0,2,1,Environmental Conservation,pollution control,Environmental Science,Puzzle Solving,Research,Resourceful,Environmental Scientist
67,76,7,1,4,0,Environmental Conservation,habitat restoration,Environmental Science,Trivia,Research and Analysis,Innovative,Environmental Scientist
64,73,6,0,5,1,Environmental Conservation,environmental policy,Environmental Science,Chess,field sampling,Collaborative,Environmental Scientist
82,82,7,1,4,0,Environmental Conservation,Data Analysis,Environmental Science,Journaling,climate change research,Advocacy,Environmental Scientist
91,87,11,0,3,0,Environmental Conservation,Research and Analysis,Environmental Science,Calligraphy,community outreach,Critical Thinking,Environmental Scientist
61,61,4,0,3,0,Environmental Conservation,Research,Ecology,Wine Tasting,Engaging with Environmental Science,Advocacy,Environmental Scientist
85,60,7,1,1,0,Environmental Conservation,Research,Environmental,Origami,Engaging with Environmental,Awareness,Environmental Scientist
83,92,9,0,5,1,Healthcare,Data Interpretation,Public Health,Astrophotography,Engaging with Ecology,Insight,Epidemiologist
94,76,3,1,1,1,Technology and Innovation,testing,Surveillance,Bug Bounty,Conduct penetration tests,Security strategist,Ethical Hacker
91,92,4,1,3,0,Technology and Innovation,programming,Surveillance,Hacking,Analyze security systems,Risk mitigator,Ethical Hacker
61,87,6,1,5,0,Technology and Innovation,testing,Surveillance,Cryptography,Test network defenses,Risk mitigator,Ethical Hacker
85,84,10,1,1,0,Technology and Innovation,development,Surveillance,Coding,Perform vulnerability scans,Compliance expert,Ethical Hacker
69,89,11,0,3,1,Technology and Innovation,programming,Surveillance,Calligraphy,Develop exploits,Security-focused,Ethical Hacker
93,87,11,1,4,0,Technology and Innovation,teamwork,Surveillance,Penetration Testing,Simulate cyber-attacks,Security-focused,Ethical Hacker
64,73,5,1,5,0,Technology and Innovation,teamwork,Surveillance,Security Research,Identify weaknesses,Security strategist,Ethical Hacker
71,84,5,1,3,1,Technology and Innovation,decision making,Surveillance,Magic Tricks,Review code,Security-focused,Ethical Hacker
81,89,9,0,5,1,Technology and Innovation,adaptability,Surveillance,Learning Languages,Monitor traffic,Risk mitigator,Ethical Hacker
94,68,5,0,4,0,Technology and Innovation,programming,Surveillance,Hackathons,Analyze malware,Proactive defender,Ethical Hacker
90,65,3,1,3,0,Technology and Innovation,decision making,Surveillance,Blogging,Audit security protocols,Security analyst,Ethical Hacker
66,93,12,1,5,1,Technology and Innovation,adaptability,Surveillance,App Development,Create reports,Risk mitigator,Ethical Hacker
93,68,9,1,1,0,Technology and Innovation,programming,Surveillance,Competitions,Recommend improvements,Risk mitigator,Ethical Hacker
63,84,9,1,3,1,Technology and Innovation,testing,Surveillance,Reading,Implement encryption,Security strategist,Ethical Hacker
85,73,3,1,4,1,Technology and Innovation,programming,Surveillance,Networking,Test web security,Cloud visionary,Ethical Hacker
73,61,4,1,3,0,Technology and Innovation,development,Surveillance,Interior Designing,Assess wireless networks,Security analyst,Ethical Hacker
78,87,15,0,4,1,Technology and Innovation,gaming,Surveillance,Filmmaking,Review server configurations,Security analyst,Ethical Hacker
61,70,12,1,2,1,Technology and Innovation,programming,Surveillance,Woodworking,Conduct risk assessments,Compliance expert,Ethical Hacker
65,75,9,0,5,1,Technology and Innovation,teamwork,Surveillance,Animation,Simulate social engineering,Risk mitigator,Ethical Hacker
79,80,9,1,2,0,Technology and Innovation,programming,Surveillance,Editing,Hack IoT devices,Compliance expert,Ethical Hacker
85,74,3,0,2,1,Technology and Innovation,teamwork,Surveillance,Storytelling,Review firewall settings,Proactive defender,Ethical Hacker
66,70,4,1,4,0,Technology and Innovation,teamwork,Surveillance,Mentoring,Test for SQL injections,Security strategist,Ethical Hacker
89,78,6,0,5,1,Technology and Innovation,programming,Surveillance,Volunteering,Test for XSS,Security-conscious,Ethical Hacker
64,73,11,1,3,0,Technology and Innovation,programming,Surveillance,Collecting,Create backdoors,Client advocate,Ethical Hacker
69,86,12,0,1,0,Technology and Innovation,adaptability,Surveillance,Climbing,Enforce MFA,Security advocate,Ethical Hacker
81,74,8,1,1,0,Technology and Innovation,decision making,Surveillance,Swimming,Simulate phishing attacks,Analytical thinker,Ethical Hacker
66,74,6,0,3,0,Technology and Innovation,testing,Surveillance,Running,Analyze password security,Security analyst,Ethical Hacker
79,83,12,1,5,1,Technology and Innovation,adaptability,Surveillance,Biking,Privilege escalation,Proactive defender,Ethical Hacker
73,73,3,1,3,1,Technology and Innovation,active listening,Surveillance,Hiking,Test database security,Analytical thinker,Ethical Hacker
69,76,12,0,5,0,Technology and Innovation,decision making,Surveillance,Board Games,Locate exposed data,Security-conscious,Ethical Hacker
72,67,3,0,4,1,Technology and Innovation,decision making,Surveillance,Chess,Perform DoS testing,Security-focused,Ethical Hacker
64,65,11,0,5,1,Technology and Innovation,adaptability,Surveillance,Pottery,Implement firewalls,Compliance expert,Ethical Hacker
87,75,6,0,5,0,Technology and Innovation,development,Surveillance,Darkweb Research,Configure IDS/IPS,Compliance expert,Ethical Hacker
82,60,9,1,3,1,Technology and Innovation,teamwork,Surveillance,Testing,Review system logs,Security,Ethical Hacker
61,75,3,0,2,0,Technology and Innovation,development,Surveillance,Programming,Reverse engineer malware,Ethical decision-maker,Ethical Hacker
71,83,9,1,3,0,Technology and Innovation,adaptability,Surveillance,DIY Projects,Investigate breaches,Security advocate,Ethical Hacker
76,90,6,1,3,1,Technology and Innovation,decision making,Surveillance,Watching Movies,Test buffer overflow,Risk mitigator,Ethical Hacker
92,82,6,1,5,0,Technology and Innovation,testing,Surveillance,Listening to Music,Verify cryptographic protocols,Vigilant,Ethical Hacker
76,80,3,1,4,1,Technology and Innovation,leadership,Surveillance,Reverse Engineering,Configure access control,Penetration,Ethical Hacker
82,73,9,1,3,0,Technology and Innovation,programming,Surveillance,Reverse Engineering,Test authentication,Compliance expert,Ethical Hacker
73,78,9,0,4,1,Technology and Innovation,testing,Surveillance,Films,Engage red team,Proactive defender,Ethical Hacker
90,67,10,1,3,0,Technology and Innovation,adaptability,Surveillance,Security Tools,Evaluate patches,Compliance expert,Ethical Hacker
72,91,9,0,4,1,Technology and Innovation,adaptability,Surveillance,Coding,Post-breach analysis,Business strategist,Ethical Hacker
76,80,6,1,2,0,Technology and Innovation,testing,Surveillance,Honeypots,Perform wireless sniffing,Security analyst,Ethical Hacker
60,94,9,0,5,0,Technology and Innovation,testing,Surveillance,Forums,Use security tools,Proactive defender,Ethical Hacker
78,81,10,1,2,0,Technology and Innovation,decision making,Surveillance,Volunteering,Test remote execution,Security-focused,Ethical Hacker
80,67,12,1,2,0,Technology and Innovation,testing,Surveillance,Workshops,Assist compliance audits,Vigilant,Ethical Hacker
74,82,12,1,3,1,Technology and Innovation,decision making,Surveillance,Puzzle Solving,Research attack techniques,Security strategist,Ethical Hacker
70,91,12,0,1,0,Technology and Innovation,testing,Surveillance,Tool Development,Test zero-day vulnerabilities,Security advocate,Ethical Hacker
77,84,4,0,3,0,Technology and Innovation,teamwork,Surveillance,Documentaries,Collaborate with IT,Risk mitigator,Ethical Hacker
69,61,8,1,4,1,Community Development,Organization,Event Management,Tech,Organize logistics,Multitasking,Event Coordinator
54,65,3,0,3,0,Community Development,Coordination,Sports Events,Volunteering,Manage vendors,Organization,Event Coordinator
63,78,5,1,5,1,Community Development,Planning and Organization,Event Management,Planning,Coordinate with clients,Multitasking,Event Coordinator
90,86,8,0,3,0,Economic Development,Event Planning,Marketing,Blogging,Promote events,Organization,Event Marketing Manager
66,92,9,0,4,1,Community Development,Organization,Hospitality,Organizing,Coordinate schedules,Organization,Event Planner
91,74,12,0,4,0,Community Development,Coordination,Hospitality,Crafting,Develop marketing campaigns,Organization,Event Planner
85,82,9,1,1,0,Community Development,Project Management,Business Management,Designing,Arrange accommodations,Creativity,Event Planner
88,73,9,1,2,0,Cultural Preservation,Space Utilization,Exhibition Design,Expos,"	Create layouts",Creativity,Exhibit Designer
89,90,10,0,4,1,Cultural Preservation,Space Utilization,Exhibition Design,Budgeting,Design exhibits,Creativity,Exhibit Designer
75,68,10,1,5,1,Human Rights  ,investigative techniques,Law Enforcement,"Learning game engines (e.g., Unity, Unreal)",Investigation,Detail-oriented,FBI Agent
72,78,12,0,4,1,Human Rights  ,surveillance operations,Law Enforcement,Playing video games,investigative techniques,Analytical,FBI Agent
80,70,11,1,5,1,Human Rights  ,evidence collection,Law Enforcement,Designing characters and environments,surveillance operations,Organized,FBI Agent
78,65,8,0,2,1,Human Rights  ,crisis management,Law Enforcement,3D modeling and animation,interviewing skills,Problem-solving,FBI Agent
67,76,7,1,4,0,Human Rights  ,teamwork and collaboration,Law Enforcement,Writing game stories and narratives,evidence collection,Supportive,FBI Agent
64,73,6,0,5,1,Human Rights  ,report writing,Law Enforcement,Attending gaming conferences,crisis management,Ethical,FBI Agent
70,79,5,1,3,0,Human Rights  ,firearms proficiency,Law Enforcement,Game art and concept design,teamwork and collaboration,Resilient,FBI Agent
77,72,4,0,4,1,Human Rights  ,physical fitness,Law Enforcement,Game design,report writing,Determined,FBI Agent
68,66,3,1,1,1,Human Rights  ,legal knowledge,Law Enforcement,Coding for games,firearms proficiency,Insightful,FBI Agent
66,74,9,1,3,0,Human Rights  ,interviewing skills,Law Enforcement,Creating game prototypes,physical fitness,Communicative,FBI Agent
89,89,12,1,5,1,Human Rights,Investigation,Criminal Justice,Galleries,legal knowledge,Integrity,FBI Agent
81,71,10,1,4,1,Healthcare,Family Counseling,Psychology,Sketching,Provide counseling,Empathy,Family Therapist
70,73,9,1,3,0,Food Security,Farm Operations,Agriculture,Meditation,Manage farm operations,Leadership,Farm Manager
63,69,9,1,3,1,Food Security,Management,Agriculture,Puzzles,Oversee crop production,Management,Farm Manager
72,54,3,0,2,0,Cultural Preservation,Writing,Fashion,Volunteering,Review fashion trends,Communication,Fashion Blogger
64,68,5,1,1,1,Cultural Preservation,Purchasing,Fashion,Gardening,Negotiate with suppliers,Negotiation,Fashion Buyer
78,60,9,0,3,1,Cultural Preservation,Advising,Fashion,Livestock,Advise on styling,Insight,Fashion Consultant
81,75,7,0,2,1,Cultural Preservation,Creativity,Fashion,Styling,Sketch designs,Creativity,Fashion Designer
86,93,7,1,2,0,Cultural Preservation,Pattern Making,Fashion,Shopping,Create prototypes,Innovation,Fashion Designer
75,94,9,0,3,1,Cultural Preservation,Design,Fashion,Styling,Create fashion collections,Creativity,Fashion Designer
81,78,10,0,3,1,Cultural Preservation,Textile Knowledge,Fashion,Sketching,Develop fabric patterns,Innovation,Fashion Designer
76,60,6,0,4,1,Cultural Preservation,Textile Knowledge,Fashion,Sewing,Collaborate with teams,Innovation,Fashion Designer
84,92,12,1,5,0,Cultural Preservation,Illustration,Art,Upcycling,Draw fashion sketches,Creativity,Fashion Illustrator
61,69,11,0,5,1,Cultural Preservation,Reporting,Fashion,Collaborating,Write fashion articles,Trend Awareness,Fashion Journalist
86,64,12,0,1,1,Cultural Preservation,Writing,Fashion,Exhibiting,Cover fashion events,Communication,Fashion Journalist
84,78,7,1,5,0,Cultural Preservation,Strategy,Marketing,Drawing,Create marketing campaigns,Leadership,Fashion Marketing Manager
79,75,6,1,3,1,Cultural Preservation,Merchandising,Retail,Writing,Optimize product displays,Trendy,Fashion Merchandiser
81,61,4,1,1,0,Cultural Preservation,Merchandising,Retail,Interviewing,"	Drive brand awareness",Marketing,Fashion Merchandiser
64,60,1,0,1,0,Cultural Preservation,Photography,Fashion,Campaigning,Shoot editorial photos,Creativity,Fashion Photographer
90,77,3,0,3,0,Cultural Preservation,Coordination,Events,Organizing,Coordinate show logistics,Organization,Fashion Show Producer
85,82,4,0,4,0,Cultural Preservation,Styling,Fashion,Researching,Advise on fashion trends,Aesthetic,Fashion Stylist
85,77,10,1,4,0,Cultural Preservation,budget management,Film,Motivation,Engaging with Education,Financially savvy,Film Director
93,81,12,0,5,1,Cultural Preservation,creative vision,Film,Fitness,Risk Assessment,Innovative,Film Director
73,72,3,1,1,1,Cultural Preservation,audience engagement,Film,Advising,casting decisions,Visionary,Film Director
80,79,4,0,4,1,Cultural Preservation,post-production oversight,Film,Tech Research,Directing,Detail-oriented,Film Director
65,71,5,1,3,0,Cultural Preservation,location scouting,Film,Tech Support,Storytelling,Resourceful,Film Director
94,76,11,1,5,0,Cultural Preservation,visual composition,Film,Filmmaking,visual composition,Artistic,Film Director
88,75,7,1,4,0,Cultural Preservation,production management,Film,Innovation,directing actors,Organized,Film Director
90,74,8,0,2,1,Cultural Preservation,directing actors,Film,Technology,production management,Motivational,Film Director
82,74,9,0,3,1,Cultural Preservation,film festival submissions,Film,Animation,editing collaboration,Strategic,Film Director
75,94,9,1,5,1,Cultural Preservation,Storytelling,Film Studies,Curating,location scouting,Vision,Film Director
86,73,6,0,5,1,Cultural Preservation,editing collaboration,Film,Programming,post-production oversight,Team-oriented,Film Director
80,72,8,1,2,0,Cultural Preservation,script development,Film,Sketching,audience engagement,Collaborative,Film Director
79,91,6,0,4,1,Cultural Preservation,Storytelling,Film,Directing,creative vision,Vision,Film Director
95,85,10,1,5,1,Cultural Preservation,storytelling,Film,Sketching,budget management,Creative,Film Director
89,78,9,1,3,0,Cultural Preservation,casting decisions,Film,Gaming,film festival submissions,Interpersonal,Film Director
66,63,4,0,2,0,Cultural Preservation,Directing,Film Studies,Coordinating,script development,Leadership,Film Director
80,75,1,0,5,1,Cultural Preservation,Directing,Film,Shooting,marketing strategies,Vision,Film Director
92,80,12,0,4,1,Cultural Preservation,script interpretation,Film,Socializing,Engaging with Film,Analytical,Film Director
78,70,7,0,1,1,Cultural Preservation,marketing strategies,Film,Storyboarding,Engaging with Film Studies,Persuasive,Film Director
91,75,1,1,3,1,Cultural Preservation,Editing,Film,Writing,Engaging with Film Studies,Detail,Film Editor
88,75,12,0,4,1,Cultural Preservation,budgeting,Film,Hiking,Management,Detail-oriented,Film Producer
92,80,10,1,5,1,Cultural Preservation,project management,Film,Gaming,Project Management,Leadership,Film Producer
79,73,6,0,5,1,Cultural Preservation,negotiation skills,Film,Fitness,project management,Persuasive,Film Producer
66,70,5,1,3,0,Cultural Preservation,industry networking,Film,Coaching,budgeting,Resourceful,Film Producer
81,75,4,0,4,1,Cultural Preservation,post-production oversight,Film,Crafting,script development,Detail-oriented,Film Producer
78,70,3,1,1,1,Cultural Preservation,creative vision,Film,Storytelling,talent management,Visionary,Film Producer
85,78,9,1,3,0,Cultural Preservation,script development,Film,Baking,production scheduling,Creative,Film Producer
84,74,7,1,4,0,Cultural Preservation,marketing strategies,Film,Painting,marketing strategies,Strategic,Film Producer
87,72,8,0,2,1,Cultural Preservation,production scheduling,Film,Traveling,negotiation skills,Organized,Film Producer
90,76,11,1,5,1,Cultural Preservation,talent management,Film,Cycling,industry networking,Interpersonal,Film Producer
85,72,12,1,3,1,Cultural Preservation,Project Management,Film Studies,Producing,post-production oversight,Organization,Film Producer
70,70,6,1,5,0,Cultural Preservation,Management,Film,Editing,creative vision,Leadership,Film Producer
70,80,4,0,3,0,Economic Development,Forecasting,Finance,Producing,Analyze financial data,Evaluation,Financial Analyst
72,70,12,1,2,1,Economic Development,Data Analysis,Economics,Editing,Prepare financial reports,Analytical Thinking,Financial Analyst
68,66,3,1,1,1,Economic Development,compliance analysis,Finance,Chess,budgeting,Engaging,Financial Analyst
77,72,4,0,4,1,Economic Development,performance metrics,Finance,Cooking,investment analysis,Insightful,Financial Analyst
69,87,9,0,5,0,Economic Development,Data Analysis,Finance,Financing,risk assessment,Analytical,Financial Analyst
70,79,5,1,3,0,Economic Development,forecasting,Finance,Running,financial reporting,Organized,Financial Analyst
67,76,7,1,4,0,Economic Development,financial reporting,Finance,Traveling,market research,Innovative,Financial Analyst
78,65,8,0,2,1,Economic Development,risk assessment,Finance,Coding,forecasting,Resourceful,Financial Analyst
80,70,11,1,5,1,Economic Development,investment analysis,Finance,Photography,performance metrics,Strategic,Financial Analyst
66,74,9,1,3,0,Economic Development,budgeting,Finance,Hiking,compliance analysis,Problem-solving,Financial Analyst
72,78,12,0,4,1,Economic Development,data analysis,Finance,Music,Data Analysis,Detail-oriented,Financial Analyst
75,68,10,1,5,1,Economic Development,financial modeling,Finance,Reading,Forecasting,Analytical,Financial Analyst
64,73,6,0,5,1,Economic Development,market research,Finance,Writing,Engaging with Finance,Collaborative,Financial Analyst
65,85,5,0,1,0,Economic Development,Forecasting,Finance,Analyzing,Engaging with Economics,Evaluation,Financial Analyst
78,67,10,1,3,1,Economic Development,Financial Reporting,Accounting,Forecasting,Oversee financial reporting,Leadership,Financial Controller
80,75,6,0,3,0,Economic Development,Regulatory Compliance,Finance,Researching,Audit financial records,Critical Thinking,Financial Examiner
60,88,6,1,3,1,Economic Development,Budgeting,Accounting,Reporting,Create financial strategies,Organization,Financial Manager
86,86,11,0,4,1,Economic Development,Investment Strategies,Finance,Accounting,Develop financial plans,Empathy,Financial Planner
85,89,12,1,3,0,Cultural Preservation,Expression,Art,Auditing,"	Create artwork",Expression,Fine Artist
94,65,12,0,3,0,Environmental Conservation,Leadership,Emergency Services,Firefighting,Lead fire department,Leadership,Fire Chief
73,91,11,0,5,1,Environmental Conservation,Fire Scene Analysis,Fire Science,Investigation,Investigate fire causes,Problem-Solving,Fire Investigator
86,80,5,1,3,1,Environmental Conservation,System Installation,Fire Science,Maintenance,Install fire systems,Safety Awareness,Fire Protection Technician
62,84,5,1,3,0,Environmental Conservation,Emergency Response,Safety,Rescue,Extinguish fires,Bravery,Firefighter
94,75,7,0,4,0,Environmental Conservation,Aquatic Research,Marine Biology,Researching,Study aquatic ecosystems,Analytical,Fisheries Biologist
93,62,11,0,2,1,Mental Health and Well-being,Group Training,Health and Fitness,Training,Teach fitness classes,Motivation,Fitness Instructor
68,66,3,1,1,1,Mental Health and Well-being,cardiovascular training,Fitness,Participating in game development communities,Training,Resilient,Fitness Trainer
80,70,11,1,5,1,Mental Health and Well-being,exercise programming,Fitness,Real estate investing,personal training,Detail-oriented,Fitness Trainer
78,65,8,0,2,1,Mental Health and Well-being,injury prevention,Fitness,Studying market psychology,nutrition guidance,Supportive,Fitness Trainer
67,76,7,1,4,0,Mental Health and Well-being,fitness assessments,Fitness,Creating investment strategies,group fitness classes,Analytical,Fitness Trainer
64,73,6,0,5,1,Mental Health and Well-being,client motivation,Fitness,Game design,exercise programming,Empathetic,Fitness Trainer
70,79,5,1,3,0,Mental Health and Well-being,flexibility training,Fitness,Coding for games,injury prevention,Adaptable,Fitness Trainer
66,74,9,1,3,0,Mental Health and Well-being,group fitness classes,Fitness,Financial planning,fitness assessments,Engaging,Fitness Trainer
77,72,4,0,4,1,Mental Health and Well-being,strength training,Fitness,Game testing,client motivation,Knowledgeable,Fitness Trainer
66,86,6,0,1,1,Mental Health and Well-being,Training,Fitness,Coaching,flexibility training,Encouragement,Fitness Trainer
72,78,12,0,4,1,Mental Health and Well-being,nutrition guidance,Fitness,Networking with other investors,strength training,Knowledgeable,Fitness Trainer
75,68,10,1,5,1,Mental Health and Well-being,personal training,Fitness,Attending finance seminars,cardiovascular training,Motivational,Fitness Trainer
89,91,8,0,5,1,Cultural Preservation,Traditional Techniques,Cultural Studies,Dancing,Perform Flamenco dances,Passion,Flamenco Dancer
78,79,4,1,3,1,Economic Development,Fleet Management,Transportation,Organizing,Manage fleet operations,Problem-Solving,Fleet Manager
86,77,8,0,4,1,Community Development,Customer Service,Hospitality,Assisting,Ensure passenger safety,Empathy,Flight Attendant
88,88,6,1,3,0,Community Development,Customer Service,Hospitality,Traveling,Assist with in-flight services,Empathy,Flight Attendant
62,84,12,1,4,1,Technology and Innovation,Data Analysis,Data Science,Teaching,Analyze flight data,Critical Thinking,Flight Data Analyst
83,83,6,0,2,0,Technology and Innovation,Data Analysis,Data Science,Analyzing,Interpret flight performance metrics,Critical Thinking,Flight Data Analyst
89,90,7,0,4,0,Education,Teaching,Aviation,Coordinating,Teach flight maneuvers,Patience,Flight Instructor
62,68,4,0,1,0,Education,Teaching,Aviation,Managing,Train students on aviation safety,Patience,Flight Instructor
73,89,6,1,1,1,Technology and Innovation,Management,Aviation Management,Planning,Oversee flight operations,Strategic Thinking,Flight Operations Manager
90,70,6,1,4,1,Technology and Innovation,Management,Aviation Management,Designing,Coordinate airline schedules,Strategic Thinking,Flight Operations Manager
87,79,12,1,4,0,Technology and Innovation,Route Planning,Aviation,Diplomacy,Plan flight routes,Analytical,Flight Planner
85,75,4,1,2,0,Technology and Innovation,Route Planning,Aviation,Nursing,Evaluate air traffic conditions,Analytical,Flight Planner
65,69,5,1,5,0,Community Development,Flooring Techniques,Construction,Autopsies,Install flooring materials,Detail-oriented,Flooring Installer
66,68,9,0,2,1,Human Rights,Negotiation,Diplomacy,Testing,Represent government abroad,Negotiation,Foreign Service Officer
88,64,4,0,1,0,Healthcare,Evidence Collection,Forensic Science,Logistics,Assist in criminal investigations,Attention to Detail,Forensic Nurse
74,75,6,0,4,0,Healthcare,Autopsy Techniques,Forensic Science,Shipping,Perform autopsies,Attention to Detail,Forensic Pathologist
57,57,11,0,3,0,Mental Health and Well-being,Investigation,Forensics,Developing,Analyze forensic evidence,Detail,Forensic Scientist
76,77,5,1,5,1,Mental Health and Well-being,Evidence Analysis,Forensic Science,Investing,Conduct laboratory tests on evidence,Attention to Detail,Forensic Scientist
79,65,7,1,1,0,Mental Health and Well-being,Analytical Techniques,Forensic Science,Coding,Prepare forensic reports,Attention to Detail,Forensic Scientist
67,69,12,1,3,1,Technology and Innovation,Conservation,Conservation,Painting,Manage forest resources,Fieldwork,Forestry Technician
88,68,10,0,5,0,Technology and Innovation,Timber Management,Forestry,Illustrating,Monitor forest health and growth,Physical Fitness,Forestry Technician
60,87,5,0,2,0,Technology and Innovation,Data Analysis,Logistics,Photography,Analyze freight data,Analytical,Freight Analyst
72,63,5,0,5,0,Technology and Innovation,Coordination,International Trade,Web Design,Coordinate freight shipments,Negotiation,Freight Forwarder
94,84,12,0,2,0,Technology and Innovation,International Shipping,Logistics,Branding,Manage international shipping logistics,Negotiation,Freight Forwarder
65,74,9,0,3,1,Economic Development,hedge fund management,Finance,Composing music,Investment Strategies,Strategic,Fund Manager
80,70,11,1,5,1,Economic Development,market analysis,Finance,Playing video games,portfolio management,Knowledgeable,Fund Manager
78,65,8,0,2,1,Economic Development,financial modeling,Finance,Creating game prototypes,risk assessment,Problem-solving,Fund Manager
67,76,7,1,4,0,Economic Development,client relationship management,Finance,Designing characters and environments,investment strategies,Communicative,Fund Manager
64,73,6,0,5,1,Economic Development,performance evaluation,Finance,3D modeling and animation,market analysis,Resourceful,Fund Manager
70,79,5,1,3,0,Economic Development,compliance knowledge,Finance,Writing game stories and narratives,financial modeling,Ethical,Fund Manager
77,72,4,0,4,1,Economic Development,asset allocation,Finance,Attending gaming conferences,client relationship management,Insightful,Fund Manager
68,66,3,1,1,1,Economic Development,trading strategies,Finance,Game art and concept design,performance evaluation,Innovative,Fund Manager
66,79,2,1,1,1,Economic Development,risk management,Finance,Listening to and analyzing music,compliance knowledge,Proactive,Fund Manager
79,75,12,0,5,1,Economic Development,economic forecasting,Finance,Music production,asset allocation,Visionary,Fund Manager
63,71,3,0,2,1,Economic Development,financial reporting,Finance,Recording instruments or vocals,trading strategies,Insightful,Fund Manager
69,75,4,1,3,0,Economic Development,asset management,Finance,Collaborating with other artists,economic forecasting,Engaging,Fund Manager
74,72,5,0,4,1,Economic Development,investment research,Finance,DJing,quantitative analysis,Supportive,Fund Manager
66,74,9,1,3,0,Economic Development,investment strategies,Finance,Learning game engines ,hedge fund management,Strategic,Fund Manager
62,78,7,0,1,1,Economic Development,financial regulations,Finance,Experimenting with different genres of music,private equity knowledge,Ethical,Fund Manager
76,70,8,1,2,0,Economic Development,private equity knowledge,Finance,Mixing and mastering tracks,financial regulations,Knowledgeable,Fund Manager
73,67,10,1,4,0,Economic Development,quantitative analysis,Finance,Sound design,client portfolio analysis,Detail-oriented,Fund Manager
72,78,12,0,4,1,Economic Development,risk assessment,Finance,Participating in game development communities,investment research,Analytical,Fund Manager
80,64,6,1,5,0,Economic Development,client portfolio analysis,Finance,Attending music production workshops,asset management,Results-driven,Fund Manager
75,68,10,1,5,1,Economic Development,portfolio management,Finance,Game testing,financial reporting,Detail-oriented,Fund Manager
84,89,6,1,3,1,Economic Development,Investment Strategies,Finance,Animation,risk management,Decision-Making,Fund Manager
69,68,10,0,3,1,Technology and Innovation,Game Mechanics,Game Development,Typography,Game Mechanics,Creativity,Game Designer
